DNI,Nombre,Apellidos,Fecha_Nacimiento,Correo
12345678Z,Juan,Lopez Garcia,20/7/1998,juan@alum.us.es
12345679Y,Antonio,Lopez Lopez,3/11/1997,antonio@alum.us.es
12345670Q,Sonia Estefania,Amor Gena,10/12/1988,sonia@alum.us.es
12345677B,Maria,Lora Santa,26/7/2002,maria@alum.us.es
12345671A,Luis,Fernández Pérez,5/6/1999,luis@alum.us.es
12345672B,Elena,Gómez Ruiz,12/9/2001,elena@alum.us.es
12345673C,Ricardo,Molina Torres,23/1/2000,ricardo@alum.us.es
12345674D,Clara,Moreno Sánchez,8/4/1998,clara@alum.us.es
12345675E,Manuel,Suárez López,17/8/1996,manuel@alum.us.es
12345676F,Isabel,Navas Ortega,30/10/2002,isabel@alum.us.es
12345678G,Alberto,Ramos Díaz,14/2/1997,alberto@alum.us.es
12345679H,Raquel,Jiménez Castro,27/5/1995,raquel@alum.us.es
12345680I,David,Martín Flores,11/3/2003,david@alum.us.es
12345681J,Patricia,López Romero,22/7/1999,patricia@alum.us.es
12345682K,Francisco,Ortega Muñoz,9/1/2000,francisco@alum.us.es
12345683L,Carmen,Reyes Navarro,16/6/1997,carmen@alum.us.es
12345684M,Jesús,Vargas Domínguez,28/11/1998,jesus@alum.us.es
12345685N,Nuria,Blanco Fernández,3/2/2001,nuria@alum.us.es
12345686O,Adrián,Pérez González,15/9/1996,adrian@alum.us.es
12345687P,Silvia,Gil Rodríguez,21/5/1999,silvia@alum.us.es
12345688Q,Roberto,Cano Márquez,19/4/2002,roberto@alum.us.es
12345689R,Beatriz,Fuentes Jiménez,7/12/2000,beatriz@alum.us.es
12345690S,Álvaro,Herrera Castillo,25/10/1995,alvaro@alum.us.es
12345691T,Laura,Ruiz Peña,13/8/2003,laura@alum.us.es
