dni,supermercado,provincia,fecha_llegada,fecha_salida,total_compra
62745110Y,Carrefour,Almeria,01/01/2019 04:43,01/01/2019 06:19,175.71
94320158X,Aldi,Malaga,01/01/2019 14:53,01/01/2019 15:55,70.04
55993608Q,Lidl,Sevilla,01/01/2019 20:09,01/01/2019 20:19,43.09
02866418C,Mercadona,Granada,02/01/2019 02:18,02/01/2019 03:53,116.99
74109346B,Mercadona,Almeria,02/01/2019 02:44,02/01/2019 04:17,90.26
29300457K,Supersol,Granada,02/01/2019 11:33,02/01/2019 13:48,37.06
48210679B,Aldi,Huelva,02/01/2019 13:44,02/01/2019 16:00,72.99
83774908F,Mas,Cadiz,02/01/2019 14:36,02/01/2019 17:24,65.14
66334271V,Mercadona,Malaga,02/01/2019 16:28,02/01/2019 18:27,41.12
86606482M,Dia,Malaga,02/01/2019 17:53,02/01/2019 20:44,187.46
48728111N,Lidl,Jaen,02/01/2019 23:46,03/01/2019 02:23,70.76
81706406X,Mas,Granada,03/01/2019 02:18,03/01/2019 02:42,67.89
60438858X,Dia,Almeria,03/01/2019 03:20,03/01/2019 06:13,68.99
69767354M,Mercadona,Malaga,03/01/2019 05:22,03/01/2019 07:49,70.79
97613571F,Supersol,Cordoba,03/01/2019 20:48,03/01/2019 23:35,18.72
50472032G,Lidl,Granada,03/01/2019 22:21,03/01/2019 23:54,90.61
88351059D,Aldi,Huelva,04/01/2019 06:28,04/01/2019 07:44,166.07
21439721H,Lidl,Malaga,04/01/2019 08:55,04/01/2019 10:41,141.02
83643589H,Mas,Huelva,04/01/2019 09:17,04/01/2019 10:12,89.00
30275959R,Aldi,Granada,04/01/2019 10:44,04/01/2019 13:27,89.05
53016835H,Supersol,Almeria,04/01/2019 10:55,04/01/2019 12:20,37.64
13109653K,Carrefour,Malaga,04/01/2019 13:30,04/01/2019 14:52,88.32
22621404F,Mas,Almeria,04/01/2019 18:47,04/01/2019 21:44,136.61
64236064P,Dia,Cordoba,04/01/2019 21:37,04/01/2019 23:26,169.60
14657186E,Carrefour,Malaga,05/01/2019 07:57,05/01/2019 09:04,35.90
47241165Q,Carrefour,Cadiz,05/01/2019 08:56,05/01/2019 11:16,91.63
28487568K,Dia,Jaen,05/01/2019 12:12,05/01/2019 15:02,95.51
06875131V,Carrefour,Almeria,05/01/2019 12:58,05/01/2019 13:27,34.52
93164304K,Mercadona,Jaen,05/01/2019 17:52,05/01/2019 20:06,167.40
04341138A,Aldi,Granada,06/01/2019 09:14,06/01/2019 11:19,59.06
08113702S,Dia,Granada,06/01/2019 14:51,06/01/2019 15:27,88.64
58551456B,Mas,Granada,06/01/2019 15:01,06/01/2019 17:32,58.36
56667898S,Mas,Granada,06/01/2019 17:46,06/01/2019 19:26,82.42
21439721H,Supersol,Cordoba,07/01/2019 03:04,07/01/2019 04:26,112.84
80037191C,Supersol,Sevilla,07/01/2019 07:42,07/01/2019 10:42,184.94
99759124M,Aldi,Cadiz,07/01/2019 10:50,07/01/2019 12:49,160.44
74648587V,Lidl,Cadiz,07/01/2019 13:02,07/01/2019 13:06,139.55
23454245H,Mercadona,Huelva,07/01/2019 14:28,07/01/2019 17:05,193.16
91377301A,Dia,Sevilla,07/01/2019 17:43,07/01/2019 18:22,57.88
15893816B,Dia,Cordoba,07/01/2019 18:19,07/01/2019 19:04,187.86
40509222N,Mercadona,Huelva,07/01/2019 23:34,08/01/2019 01:16,27.34
08693645J,Aldi,Malaga,08/01/2019 03:53,08/01/2019 06:44,27.23
36098787B,Lidl,Cordoba,08/01/2019 04:05,08/01/2019 06:15,14.82
83701908D,Aldi,Cadiz,08/01/2019 08:03,08/01/2019 10:31,23.16
52297228N,Dia,Jaen,08/01/2019 11:04,08/01/2019 14:03,166.77
73138355B,Carrefour,Cadiz,08/01/2019 13:13,08/01/2019 14:16,39.32
22721234V,Carrefour,Granada,08/01/2019 16:26,08/01/2019 18:45,141.10
38613809Y,Mercadona,Huelva,08/01/2019 16:59,08/01/2019 17:07,185.06
04341138A,Lidl,Huelva,08/01/2019 17:59,08/01/2019 18:38,179.84
99612009K,Lidl,Cadiz,08/01/2019 22:49,09/01/2019 01:32,151.15
